Depth,Age, Pinus                                         ,Abies,Picea,Juniperus-Type, Pseudotsuga                          ,Tsuga, Ephedra nevadensis#                    ,Ephedra torreyana    , Populus#                                      , Acer                                       , Quercus                               , Juglans, Aesculus,Lithocarpus /  Castanopsis   ,Liquidambar, Garrya / Fremontia        , Rhizophora                , Platanus                         ,RHAMNACEAE                                      , ROSACEAE                                        ,Dodonea           ,Simmondsia     , Bursera                            , Ceanothus                         , Lonicera                                   , Celtis                  ,Eucalyptus                                , Salix                                    , Myrica                                  , Alnus                                      , Artemisia                            , Prosopsis /  Olneya               ,Ambrosia                                 ,Liguliflorae                                    ,High-Spine-COMPOSITAE                      ,Low-Spine-COMPOSITAE                      ,MALVACEAE ,CRUCIFERAE,Arceuthobium,CARYOPHYLLACEAE,RUBIACEAE,EUPHORBIACEAE,LEGUMINOSAE,Dalea,LABIATAE,Salvia,Eriogonum,Polygonum persicaria, Rumex,NYCTAGINACEAE                                   ,Plantago,POLEMONIACEAE                                   ,Gilia, Navarretia                       ,UMBELLIFERAE                                    ,ONAGRACEAE      ,Rhus, ERA - type                                      , GRAMINEAE                                       , Cheno/Am - type                                 , Sarcobatus                            ,Typha / Sparganium            ,CYPERACEAE                                      , LILIACEAE / AGAVACEAE                       , Alternanthera, Potamogeton                         , Isoetes                                ,Dryopteris                                 ,Pteridium                         ,Athyrium                     ,Selaginella                         , Botrychium                       ,Monolete                                        ,Trilete                         ,Pediastrum                       ,Indeterminate                                   , Unknown                                         , Redeposited     , Total           ,Control                                         ,APFAC           ,Other1,Other2,Other3,Other4,Other5,Other6,NoID
65.3,76160.07,6.451612903,0,0,5.483870968,0,0,0,0.322580645,0,0,5.806451613,0,0,0,0,0,0,0,0.322580645,0,0.64516129,0,0,0,0,0,0,0,0,0.322580645,0.967741935,0,16.4516129,0,2.258064516,0,0,0,0,0,0,0,0,0,0.322580645,0,0,0,0,0,0,0,0,0,0,0,0,4.193548387,4.516129032,36.4516129,0,0,0,0.322580645,0.322580645,0,0,0,0,0,0,0,0,0,0,2.258064516,12.90322581,0,100,463.2258065,0,127.0967742,0,78.38709677,225.8064516,18.38709677,322.5806452,0
66.8,78172.92,7.301587302,0,0,12.38095238,0,0,0,0.952380952,0,0,4.761904762,0,0,0,0,0,0,0,0.317460317,0,0,0.317460317,0,0,0,1.904761905,0,0.634920635,0,0,0.317460317,0,28.25396825,0,4.126984127,0,0.317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317460317,0,0,0,0,0,0,0.952380952,6.984126984,19.36507937,0,0,0,0.952380952,0.317460317,0,0,0,0,0,0.317460317,0,0,0.317460317,0,4.126984127,4.444444444,0,100,93.65079365,0,38.0952381,0,38.41269841,263.1746032,15.87301587,317.4603175,0
68.3,80185.77,6.418219462,0,0,16.97722567,0,0,0,0.207039337,0,0,9.316770186,0,0,0,0,0,0.207039337,0,0,0,0.414078675,0,0,0,0,1.6563147,0,0.82815735,0,0,1.242236025,0,21.5320911,0,3.105590062,0,0,0,0,0,0,0,0,0,0.207039337,0,0,0,0,0,0,0,0,0,0,0,0,2.898550725,4.968944099,16.97722567,0.207039337,0,0.207039337,0.621118012,0.207039337,0,0,0,0,0,0,0,0,0.207039337,0,3.933747412,7.660455487,0,100,291.0973085,0,81.36645963,0,38.50931677,157.3498965,11.18012422,207.0393375,0
69.8,82198.62,12.38738739,0,0.225225225,22.07207207,0,0,0,0.225225225,0,0.45045045,6.306306306,0,0,0,0,0,0,0,0,0,1.126126126,0,0,0,0,0,0,0,0,0.225225225,1.576576577,0,37.38738739,0,2.477477477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225225225,0,0,0,0.225225225,0,0,0,0.225225225,2.027027027,6.306306306,0.45045045,0,0,0.45045045,0.225225225,0,0,0,0,0,0.225225225,0,0,0,0,1.801801802,3.378378378,0,100,25.22522523,0,9.459459459,0,25.22522523,189.4144144,10.58558559,225.2252252,0
71.4,84345.66,11.67747915,0,0,31.51065802,0,0,0.092678406,0.556070436,0,0.370713624,5.653382762,0,0,0,0,0,0,0.092678406,0.185356812,0,0.092678406,0,0,0,0,0.092678406,0,0.185356812,0,0,6.672845227,0,21.22335496,0,2.96570899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185356812,0,0,0,0,0,0,0.370713624,1.297497683,11.30676552,0.278035218,0,0.185356812,0,0,0,0,0,0,0,0.46339203,0,0,0,0,1.853568119,2.687673772,0,100,30.95458758,0,16.77479147,0,9.823911029,79.24003707,3.614457831,92.67840593,0
72.8,86224.32,13.49480969,0,0,13.14878893,0,0,0,0.692041522,0,0,4.152249135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346020761,0,0,2.422145329,0,22.49134948,0,1.384083045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.422145329,7.958477509,21.79930796,0,0,0.346020761,0.692041522,0.346020761,0,0,0,0,0,0.346020761,0,0,0,0,1.730103806,4.498269896,0,100,173.0103806,0,61.93771626,0,31.83391003,297.9238754,16.26297578,346.0207612,0
74.8,88908.12,2.608695652,0,0,6.956521739,0,0,0.869565217,0,0,0,12.60869565,0,0,0,0,0,0.434782609,0,0,0,0,0,0,0,0,0.869565217,0,0.869565217,0,0,0,0,14.7826087,0,3.913043478,0,0,0,0,0,0,0,0,0,0,0,0,0.434782609,0,0,0.434782609,0,0.434782609,0,0,0,0,3.913043478,6.52173913,26.95652174,0,0,0,0,0.434782609,0,0,0,0,0,0,0,0,0,0,5.217391304,9.130434783,0,100,392.6086957,0,100.8695652,0,45.2173913,373.0434783,16.52173913,434.7826087,0
76.3,90920.97,3.982300885,0,0,4.867256637,0,0,0,0,0,0,11.50442478,0,0,0,0,0,0,0,0,0,0.442477876,0,0,0,0,0,0,0.442477876,0,0,1.327433628,0,17.69911504,0,3.097345133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.637168142,3.982300885,32.74336283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.982300885,9.292035398,0,100,565.0442478,0,121.2389381,0,52.65486726,372.5663717,17.25663717,442.4778761,0
77.8,92933.82,6.451612903,0,0,7.88530466,0,0,0,0.358422939,0,0,8.960573477,0,0,0,0,0,0,0.358422939,0,0,0,0,0.358422939,0,0,0.716845878,0,0.358422939,0,0,1.433691756,0,23.29749104,0,1.433691756,0,0,0,0,0,0,0.358422939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.017921147,8.243727599,21.50537634,0,0,0.358422939,0,0.358422939,0,0,0,0,0,0,0,0,0,0,3.584229391,7.52688172,0,100,144.4444444,0,40.50179211,0,36.20071685,308.9605735,13.26164875,358.4229391,0
79.3,94946.67,4.096385542,0,0.240963855,12.04819277,0,0,0,0.481927711,0,0,8.674698795,0.240963855,0,0,0,0,0,0,0.240963855,0,0.240963855,0,0,0,0,1.204819277,0,0,0,0.240963855,1.927710843,0,35.18072289,0,2.65060241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.445783133,4.819277108,13.97590361,0,0,0,0,0,0,0,0,0,0,0.240963855,0,0,0,0,3.373493976,8.674698795,0,100,220.9638554,0,65.30120482,0,75.42168675,157.5903614,7.951807229,240.9638554,0
80.9,97093.71,5.048859935,0,0,12.70358306,0,0,0,0,0,0,6.351791531,0,0,0,0,0,0,0,0.16286645,0,0.651465798,0,0,0,0,0.488599349,0,0,0,0,1.791530945,0,40.87947883,0,1.791530945,0,0.16286645,0,0.16286645,0,0,0.16286645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.117263844,5.863192182,16.28664495,0,0,0,0.16286645,0,0,0,0,0,0,0,0,0,0.16286645,0,1.140065147,3.908794788,0,100,98.53420195,0,25.73289902,0,17.26384365,138.9250814,6.67752443,162.8664495,0
84.3,101656.17,4.724409449,0,0,12.5984252,0,0,0,0,0,0,11.81102362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.787401575,0,0,0,0,2.755905512,0,23.62204724,0,4.330708661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57480315,3.937007874,20.07874016,0,0,0,0,0.787401575,0,0,0,0,0,0,0,0,0,0,3.149606299,9.842519685,0,100,134.2519685,0,34.64566929,0,44.88188976,334.2519685,14.56692913,393.7007874,0
85.8,103669.02,5.684754522,0,0,13.95348837,0,0,0,0,0,0,8.010335917,0,0,0,0,0,0.516795866,0,0,0,0.775193798,0,0,0,0,1.291989664,0,1.291989664,0,0.258397933,0.775193798,0,29.97416021,0,2.583979328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.80878553,5.684754522,20.41343669,0,0,0,0.258397933,0.516795866,0,0,0,0,0,0,0,0,0,0,3.359173127,4.134366925,0,100,155.0387597,0,44.44444444,0,26.35658915,222.4806202,9.560723514,258.3979328,0
