Core Depth,measured sample volume cc,CRUC EMPTY      gm,CR + WET SED   gm,wet weight,CR + DRY SED 100C gm,dry weight, water weight,% H2O (wet weight),Dry gm / cc,CR + MIN 550C        gm,LOI,% organics (dry weight),CR + ASH 1000C     gm,carbonates,% carbonates (dry weight),% non-carbonate inorganics (dry weight)
50,1.25,17.1268,18.5963,1.47,17.4348,0.3080,1.1615,79.04,0.2464,17.3873,0.0475,15.42,17.3785,0.0088,2.857142857,81.7208
52,1.25,16.6565,18.1497,1.49,16.9899,0.3334,1.1598,77.67,0.2667,16.9200,0.0699,20.97,16.9153,0.0047,1.409718056,77.6245
55,1.25,16.8596,18.5791,1.72,17.2489,0.3893,1.3302,77.36,0.3114,17.1975,0.0514,13.20,17.1873,0.0102,2.620087336,84.1767
56,1.25,16.9979,18.5644,1.57,17.3451,0.3472,1.2193,77.84,0.2778,17.2734,0.0717,20.65,17.2673,0.0061,1.756912442,77.5922
63,0.625,15.7585,16.6527,0.89,15.9519,0.1934,0.7008,78.37,0.3094,15.9160,0.0359,18.56,15.9129,0.0031,1.602895553,79.8345
67.5,1.25,16.0172,17.6811,1.66,16.4085,0.3913,1.2726,76.48,0.3130,16.3506,0.0579,14.80,16.3441,0.0065,1.661129568,83.5420
70.5,0.625,13.3852,14.4467,1.06,13.6013,0.2161,0.8454,79.64,0.3458,13.5599,0.0414,19.16,13.5537,0.0062,2.86904211,77.9732
75.5,1.25,16.6565,18.3476,1.69,17.0399,0.3834,1.3077,77.33,0.3067,16.9760,0.0639,16.67,16.9672,0.0088,2.295252999,81.0381
78,1.25,16.1201,17.7082,1.59,16.5240,0.4039,1.1842,74.57,0.3231,16.4563,0.0677,16.76,16.4495,0.0068,1.683585046,81.5548
79.5,0.625,16.9169,17.9196,1.00,17.1440,0.2271,0.7756,77.35,0.3634,17.1084,0.0356,15.68,17.1055,0.0029,1.276970498,83.0471
82.5,1.25,14.1214,15.6874,1.57,14.4362,0.3148,1.2512,79.90,0.2518,14.3839,0.0523,16.61,14.3776,0.0063,2.001270648,81.3850
86.5,1.25,12.9862,14.8385,1.85,13.4820,0.4958,1.3565,73.23,0.3966,13.4144,0.0676,13.63,13.4056,0.0088,1.774909238,84.5906
91,1.25,15.2043,16.7212,1.52,15.5239,0.3196,1.1973,78.93,0.2557,15.4696,0.0543,16.99,15.4642,0.0054,1.689612015,81.3204
92,1.25,16.9344,18.5557,1.62,17.2856,0.3512,1.2701,78.34,0.2810,17.2174,0.0682,19.42,17.2097,0.0077,2.192482916,78.3884
97.5,1.25,14.2186,15.9894,1.77,14.6771,0.4585,1.3123,74.11,0.3668,14.6120,0.0651,14.20,14.6027,0.0093,2.028353326,83.7732
